key,source,Translation
61A6C598448FC2000472CAAD0FA16726,Batterie,
D015228A40A78FA42B18F8B7B6DB61D4,Condition,
1DE742984A083081077685920991836F,Expérimental,
EFD7A1254F9C2C39CBFAEE957C07F225,Carburant,
41D2BE0D4A950C71A37C9B992D537C6A,PSI,
ConstructionMenu_PerSqM,par m²,
3A80B5934E262ED76E9ABDBA03914BE1,par m²,
317AFAA04884CB2B9D2952864ECBCF67,pour obtenir un avantage.,
2744CE9C46C06ECF827A91B99798C44E,"Drapeau ""Amérique""",
18901C7B40CC7798041B4CBEAAC89294,"« Des prix justes, en tout temps. Voilà la promesse de Frank ! »",
C5EA20B94A9EB946E9D29EB2CFA07AC9,"« Des prix justes, en tout temps. Voilà la promesse de Frank ! »",
FDC848BF493383FA461F91853C6FC986,"""Pour l’amour de Dieu, mec !""",
2ADAA88A4059DB75B4D45296CF22F2EC,Grenade à main,
AD2686BE44636AB1E2C11F8CE1680C55,Grenade à main,
88A3D7244F5A545FE49033B98A6486B8,"""En cas d'accident, appelez Heck !""",
1527C4464C09D13AFE06E7B2EF2AECC6,Pot de nectar,
BDF4AD254E0A7481F291B59BA3552E68,"« Privé » signifie que le serveur n'apparaîtra pas dans le navigateur de serveurs.",
B3F805674565E357DB9DA1B2AB45125E,"""Tu prends une gorgée de ta fidèle gourde.""",
C58E0F104DE4C48D0E5C88929CFCBB82,"""Tu prends une gorgée de ta fidèle gourde isotherme.""",
3219A53F47D41C713877ABA84080DF3E,$,
4591D096429DE63DC8C12A8A260A20DC,1 $ CAD,
C5573E2B4E362A799BD8BEB34A4F49AA,1 $ USD,
418C1A584A6F34B16EEDC1A811D73A7B,{Dollars} $,
2B9CA4A54895FAAB4F2C6E9F31F34902,(Presque) tout peut être jeté.,
7FCEE7394002353CCD52F69CD8FA1850,"(La valeur par défaut est 0,06)",
46F8943D40217862746ED5BEBCBDADFD,"(La valeur par défaut est 0,3)",
B8BCA7BB4D7F3AC12F9B9B8BA9D9AE3D,+1 jour,
8B2D6F9646968758073D6BB3B5228040,+1 heure,
D066EF1741868A90AAC07E8F6AC5D279,+1 mois,
933AF96E45192EBC3F1FC282283AC239,+1 année,
XPGainPerSecond,+{XP} {Stat}/seconde,
1F3BC0D2437B4F3C5DF12DBC8A5F4C2B,-1 jour,
4CF78DF745EF724ED5CCCD97AF405032,-1 heure,
1486B205418C3DD4206458AF968F6A60,-1 mois,
69DCF22942B8ACE67D04A2BE047C93E9,-1 année,
08620FE74E4CE85733172B9A62BEA781,Munitions de .357 Magnum,
F56A8D994D65770E0E921184A70365C5,Munitions de .38 Special,
306B6FC440FEFE9C34BD2F94826EC324,Munitions de .45 ACP,
37B831BD40E5AC2D30B5279FB2BC0D0C,Munitions de .50 BMG,
F79A15F549CB663A366DC6BC8381BC3D,/a - Parler aux administrateurs.,
A2AA2B2C490D6DA5B45A019748AEBDFF,/g - Parler à tout le monde sur le serveur.,
A0A0F3F04D6C9C8A2BE15CA1A37EDEBA,"/l - Parlez aux personnes à proximité. C'est l'option par défaut.",
11BEF6384961235E0218429BA70A1913,"/r - Parlez via une radio, si vous en avez une.",
8C1ED8FD412633EA482715BF37F6DBBF,/w - Parlez aux personnes qui se trouvent juste à côté de vous.,
240B9554410291F327A0FDB0CBD09A49,/y - Crier aux personnes éloignées de vous.,
B9EF204747FF2F74AE51BA84854CFE47,"0,017",
4606B9ED421E5BB9097A02A4AA3BB3B9,"0,018",
31E4690D4B1BE43D6F7D218E9ABDBBC2,"0,019",
54601E5740E16236BD2691A867568F56,"0,02",
5108184E4254CD248481E49EA287C5FE,1 mois,
A84FF45C452A7B3749CD96B5EAC1CF57,1 semaine,
17090BA24A8F1AC7EDCCDB8B724E87DD,1 an,
B665AC494C81906D2F69999E9DD0D8E0,1 heure,
873C9B624DCF4847D6FE0589B08B2782,1 minute,
0BE5974641BF4F3550C49FAF336A103B,"1,5 mois",
77A222E941C6D9991A94EDB88B5706E6,"1,5 année",
B1AB3E9242231E5D317E8BB0EF186450,10 % de chances supplémentaires de trouver des objets rares en fouillant.,
5542E538411DF5F4E646608AA9D5D95B,Munitions de calibre 12,
8A9513DF4B69A68D681CAA82724B975B,15 minutes,
EE73B1714E7B4722A4E620BD664FCFB1,16,
C010775B41EBC68A24A900A5A4F3349E,2 Mois,
980E04604C2851D96DBE2BA89F232A70,2 crochets restants,
9FBC1CA04AE02094353431BEBD43395C,3 mois,
B7294B82465DEAEBBF7D53ADC3FB7895,30 minutes,
AFFFB2974C8B094FBE9AE19614908727,5 jours,
6FEBB0DF425F8A691FAAF2926A4D4CC2,5 minutes,
F015570D42CD3A105C0FEEACFFC4C284,"Munitions de 5,56 mm",
BDE5CBB548B5FD9CEA9B10A337136F0F,"Munitions de 5,7×28 mm",
7D6AE4B34737E8F96086139AD4DB7406,50 % de dégâts de chute.,
B9816492436B190E761A55841A51D2F7,50 % moins de risques de te casser un bras ou une jambe,
2E18FC1C4056F9024F9437876A2ED1E1,Réduit de 50 % la fatigue causée par les sauts.,
A658902D452F799C35654097452CB8FF,Réduit de 50 % la fatigue provoquée par les armes de mêlée.,
18761A5D451E98816DB0F5A5951925D1,Réduction de 50 % de tous les dégâts subis.,
44DF35D24ECD9954CA3496B544A093CB,57,
45B5A316401B8CB342DE0C999648E355,6 mois,
656F21754C6EA34B8EF0248A8AD268BF,"Munitions de 7,62 mm",
34DB129A4777C0A70EFAF5B2912AAF09,9 mois,
4494CC7143D5823C0388C1A525F8F68F,"Poste radio 93,4",
7877EDFF475D0A7FA4E50AB99FE626D4,"Poste radio 93,4",
948C388F485165CF2C6A9FAE51033F4D,"95,2 jours dorés",
13E77D75E5E746DAA1FC60C3181EA5ED,Munitions de 9 mm,
4BEC5909477A3BCAC2C4FE97A171C24E,"<Link to=""{URL}"">En savoir plus ici.</>",
5B2CD6FF4AA41580556072961985CAD7,Un fajita au barbecue.,
E049C279434197426578D7992041F8F3,Un marais sans lumière,
BA42EC05491BAC5DE45E7E941DAE5841,Chargeur pour 1911 LoneStar. Contient des munitions de .45 ACP.,
671185BF4E1450C423AFB7A6F25B7414,"Un chargeur P9. Contient des munitions de 5,7×28 mm",
1D1630074BFA6E1121038FB234B18BD9,Un kebab turc à la viande de bœuf.,
F492C3FE4E34010A61E53FA312BA9D61,"Un chargeur de UN Fifty-Seven. Contient des munitions de 5,7x28mm.",
5A0764C547EF3F9AEA7F37A7D7A61D7B,Un chargeur Wolfram 17. Contient des munitions 9mm.,
334B0E18426C3FB0EC5ABEB2371A9C05,Une petite plante qui n’a pas poussé.,
